c Arquivo de Testes
a 154 155 950
a 155 154 950
a 156 157 1924
a 157 156 1924
a 156 158 1370
a 158 156 1370
a 159 156 1954
a 156 159 1954
a 159 160 1483
a 160 159 1483
a 161 162 5016
a 162 161 5016
a 152 161 2781
a 161 152 2781
a 161 163 2887
a 163 161 2887
a 164 165 1736
a 165 164 1736
a 166 167 3931
a 167 166 3931
a 168 169 1345
a 169 168 1345
a 170 166 2605
a 166 170 2605
a 171 166 924
a 166 171 924
a 171 172 3415
a 172 171 3415
a 173 174 1963
a 174 173 1963
a 112 175 6223
a 175 112 6223
a 167 112 4812
a 112 167 4812
a 175 167 2754
a 167 175 2754
a 176 175 4795
a 175 176 4795
a 172 177 3744
a 177 172 3744
a 178 171 8097
a 171 178 8097
a 179 180 918
a 180 179 918
a 181 173 1829
a 173 181 1829
a 182 181 562
a 181 182 562
a 182 183 2122
a 183 182 2122
a 184 182 4961
a 182 184 4961
a 183 185 889
a 185 183 889
a 173 179 4282
a 179 173 4282
a 179 186 3851
a 186 179 3851
a 176 187 5559
a 187 176 5559
a 188 189 901
a 189 188 901
a 188 190 782
a 190 188 782
a 191 192 3933
a 192 191 3933
a 191 176 1206
a 176 191 1206
a 193 191 2695
a 191 193 2695
a 194 193 511
a 193 194 511
a 195 194 696
a 194 195 696
a 196 197 3278
a 197 196 3278
a 198 195 1652
a 195 198 1652
a 195 199 5635
a 199 195 5635
a 193 200 3006
a 200 193 3006
a 200 201 393
a 201 200 393
a 181 202 8544
a 202 181 8544
a 203 204 7712
a 204 203 7712
a 202 196 8832
a 196 202 8832
a 205 196 1746
a 196 205 1746
a 205 206 2249
a 206 205 2249
a 207 203 7131
a 203 207 7131
a 203 208 997
a 208 203 997
a 209 205 2233
a 205 209 2233
a 208 209 1032
a 209 208 1032
a 210 209 1668
a 209 210 1668
a 211 210 2191
a 210 211 2191
a 212 211 303
a 211 212 303
a 213 212 2312
a 212 213 2312
a 214 213 1278
a 213 214 1278
a 215 184 1161
a 184 215 1161
a 216 215 1978
a 215 216 1978
a 217 216 1084
a 216 217 1084
a 218 219 1109
a 219 218 1109
a 217 220 3594
a 220 217 3594
a 96 217 2556
a 217 96 2556
a 98 96 1234
a 96 98 1234
a 221 98 3445
a 98 221 3445
a 222 223 796
a 223 222 796
a 215 218 3087
a 218 215 3087
a 218 224 2956
a 224 218 2956
a 225 226 14242
a 226 225 14242
a 223 225 1219
a 225 223 1219
a 225 227 762
a 227 225 762
a 227 228 503
a 228 227 503
a 228 229 4111
a 229 228 4111
a 34 230 246
a 230 34 246
a 221 231 3229
a 231 221 3229
a 232 221 1234
a 221 232 1234
a 233 232 3385
a 232 233 3385
a 234 100 503
a 100 234 503
a 233 100 275
a 100 233 275
a 234 233 275
a 233 234 275
a 235 234 333
a 234 235 333
a 236 235 2480
a 235 236 2480
a 232 222 3418
a 222 232 3418
a 237 222 7762
a 222 237 7762
a 235 238 2089
a 238 235 2089
a 239 236 713
a 236 239 713
a 240 239 3876
a 239 240 3876
a 239 241 1340
a 241 239 1340
a 242 243 1740
a 243 242 1740
a 242 244 1576
a 244 242 1576
a 245 240 667
a 240 245 667
a 245 242 1670
a 242 245 1670
a 246 245 1257
a 245 246 1257
a 236 237 4944
a 237 236 4944
a 240 247 2109
a 247 240 2109
a 246 248 2878
a 248 246 2878
a 35 249 1346
a 249 35 1346
a 101 250 258
a 250 101 258
a 251 14 2103
a 14 251 2103
a 252 251 5949
a 251 252 5949
a 253 204 1689
a 204 253 1689
a 253 254 2983
a 254 253 2983
a 14 237 3971
a 237 14 3971
a 255 229 13019
a 229 255 13019
a 229 256 1300
a 256 229 1300
a 257 258 552
a 258 257 552
a 256 257 3982
a 257 256 3982
a 257 259 786
a 259 257 786
a 256 260 3089
a 260 256 3089
a 101 261 2780
a 261 101 2780
a 260 262 4133
a 262 260 4133
a 263 253 3880
a 253 263 3880
a 207 263 819
a 263 207 819
a 264 207 1417
a 207 264 1417
a 263 265 5666
a 265 263 5666
a 214 264 2178
a 264 214 2178
a 266 214 1004
a 214 266 1004
a 267 266 893
a 266 267 893
a 268 267 2747
a 267 268 2747
a 269 267 12787
a 267 269 12787
a 260 270 1277
a 270 260 1277
a 271 272 2059
a 272 271 2059
a 251 273 1178
a 273 251 1178
a 273 274 353
a 274 273 353
a 274 275 1719
a 275 274 1719
a 274 255 950
a 255 274 950
a 276 255 2023
a 255 276 2023
a 276 277 1426
a 277 276 1426
a 271 278 761
a 278 271 761
a 279 271 670
a 271 279 670
a 280 279 1763
a 279 280 1763
a 270 281 426
a 281 270 426
a 282 269 556
a 269 282 556
a 283 282 2994
a 282 283 2994
a 280 282 9490
a 282 280 9490
a 284 283 902
a 283 284 902
a 280 285 3489
a 285 280 3489
a 286 280 4334
a 280 286 4334
a 287 288 1911
a 288 287 1911
a 289 188 13645
a 188 289 13645
a 290 130 9167
